t_s,n_live_tup,n_dead_tup,autovacuum_count,phase,heap_blks_scanned,heap_blks_total,index_vacuum_count,heap_bytes
17,50000,450000,1,,0,0,0,292577280
32,50000,450000,1,,0,0,0,292577280
52,50000,450000,1,vacuuming heap,35715,35715,1,292577280
60,50639,0,2,,0,0,0,292577280
